metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1786861846,1.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_duration,1786861846,1.915000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_blocked,1786861846,1.172000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_connecting,1786861846,0.764000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_tls_handshaking,1786861846,0.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_sending,1786861846,0.051000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_waiting,1786861846,1.815000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_receiving,1786861846,0.049000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_failed,1786861846,0.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
checks,1786861846,1.000000,login: status 200,,,,,,,,default,,,,,,,
checks,1786861846,1.000000,login: token present,,,,,,,,default,,,,,,,
http_reqs,1786861847,1.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_duration,1786861847,3.330000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_blocked,1786861847,0.012000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_connecting,1786861847,0.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_tls_handshaking,1786861847,0.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_sending,1786861847,0.071000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_waiting,1786861847,3.148000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_receiving,1786861847,0.111000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_failed,1786861847,0.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
checks,1786861847,1.000000,cart: status 200,,,,,,,,default,,,,,,,
vus,1786861847,1.000000,,,,,,,,,,,,,,,,
vus_max,1786861847,200.000000,,,,,,,,,,,,,,,,
vus,1786861848,1.000000,,,,,,,,,,,,,,,,
vus_max,1786861848,200.000000,,,,,,,,,,,,,,,,
http_reqs,1786861849,1.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_duration,1786861849,27.080000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_blocked,1786861849,0.011000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_connecting,1786861849,0.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_tls_handshaking,1786861849,0.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_sending,1786861849,0.068000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_waiting,1786861849,26.881000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_receiving,1786861849,0.131000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_failed,1786861849,0.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
checks,1786861849,1.000000,checkout: status 200,,,,,,,,default,,,,,,,
checks,1786861849,0.000000,checkout: order_id present,,,,,,,,default,,,,,,,
data_sent,1786861849,929.000000,,,,,,,,,default,,,,,,,
