HW06 Git Commit Log
Generated read-only from real repository history at 2026-08-28T23:11:59+07:00.
Scope: 23127379_Homework/HW6, .github/workflows/hw06-newman.yml, reports/HW06_CICD_Report.md, reports/CI-fail-sample-2.png
Format: full commit SHA | ISO 8601 date | author | subject

1c84a27a06949d0f16d3d0970f8fcdf46b21e326 | 2026-08-28T23:07:07+07:00 | AkiraTomori | docs(hw06): add AI audit report and critique
5373fb84a0167e35eac31f4b8483180c8bd5cbd0 | 2026-08-28T22:45:22+07:00 | AkiraTomori | ci(hw06): add Newman pipeline and run evidence
61e0baea6a0bd05ca93c94c07e1a60739c59f973 | 2026-08-28T22:06:45+07:00 | AkiraTomori | fix(hw06): correct SUT log/PID directory creation in GitHub Actions workflow
767c9222e11af52f3ba7021f0d86156034299d5e | 2026-08-28T22:03:45+07:00 | AkiraTomori | Update HW06 CI/CD reports with secret creation details and status
3ca50b2f7f9ebb01f05b9c74b12cf82a8742ea48 | 2026-08-28T21:47:36+07:00 | AkiraTomori | Add Postman collection and environment for HW06 EShop API Testing
b36fad4fd205afda395301996cd14243d9e53916 | 2026-08-28T21:25:24+07:00 | AkiraTomori | Enhance Stage 3 extension proposals for FR08 Checkout and FR15 Update Product
4e5f20f4a0e87bf3275c05cb2b50e1eed2cd6dd0 | 2026-08-28T21:00:08+07:00 | AkiraTomori | test(hw06): complete pool-c
609efcc3c49bbe543bd8b5f9ab06f362cbe72c97 | 2026-08-28T20:58:20+07:00 | AkiraTomori | test(hw06): complete pool-c stage-5
93f85686e85d00c2921b7dc38ae7633d8469f3a6 | 2026-08-28T20:50:35+07:00 | AkiraTomori | test(hw06): complete pool-c stage-4
36355ba683092a19404f081652e628c4fe615178 | 2026-08-28T20:19:08+07:00 | AkiraTomori | test(hw06): complete pool-c stage-3
bdf0421dc7f6ff4bead16df39414cc17ccdeed3d | 2026-08-28T20:04:58+07:00 | AkiraTomori | test(hw06): complete pool-c stage-2
615e548959e18030004aca12ea9ecc98bf9d998b | 2026-08-27T15:21:39+07:00 | AkiraTomori | test(hw06): complete pool-c stage-1
9c3ca9923a04e831373c667ad5cb513a22602161 | 2026-08-27T15:19:01+07:00 | AkiraTomori | Add Stage 1 security and schema checklist proposal for PUT /api/products/:id
e10904a5e5368743e4e188c0d41d7ed6a53504e5 | 2026-08-22T11:34:29+07:00 | AkiraTomori | test(hw06): complete pool-b
5b0b028790be0e1ee33faf1cfa82ff2a558cddc0 | 2026-08-22T09:53:03+07:00 | AkiraTomori | test(hw06): complete pool-b stage-4
6b08b5c60dc5af19b55123335dc9fe3f90943277 | 2026-08-22T09:24:16+07:00 | AkiraTomori | test(hw06): complete pool-b stage-3
42aaf9947efb348459ef9caa929c59f7154256c6 | 2026-08-22T09:16:21+07:00 | AkiraTomori | test(hw06): complete pool-b stage-2
f939c8b8560f2b9ece4f583fb0e208f89fbb7356 | 2026-08-21T20:14:29+07:00 | AkiraTomori | test(hw06): complete pool-b stage-1
8592ee7decd0438cfb75f2c8d7f8937653fc8623 | 2026-08-21T16:53:06+07:00 | AkiraTomori | feat(HW6): update Pool A progress to DONE and add Stage 5 bug report proposal
f82ecf0a87aad4a9c11382b794509bf96ddc4a03 | 2026-08-21T16:36:37+07:00 | AkiraTomori | test(hw06): complete pool-a stage-4
33cf5cfbd694ee807a21f8324cdada0e5e81b077 | 2026-08-21T15:55:14+07:00 | AkiraTomori | test(hw06): complete pool-a stage-3
96c37247585c84c7809223fb303d6920f3decbaa | 2026-08-21T15:47:28+07:00 | AkiraTomori | test(hw06): complete pool-a stage-2
071c4f75d542ea95d56f68220b6a15c68511596e | 2026-08-21T12:28:18+07:00 | AkiraTomori | test(hw06): complete pool-a stage-1
7ba5abfd3433b19e4f2c4e3b6a8ce7f6c55b76d5 | 2026-08-21T11:58:50+07:00 | AkiraTomori | feat(HW6): update progress and audit reports for Pool A, approve domain testing proposal
fd9e8e82c028b431e929a8d913c882d12c7ed40c | 2026-08-21T11:23:36+07:00 | AkiraTomori | refactor: update AI audit and confirmation processes across multiple command files
03c1ec27ed3ba1c9646ad7fd44659fb84740ea3d | 2026-08-21T11:10:17+07:00 | AkiraTomori | feat(audit): add AI audit reports for Pools B and C, update README and workflow documentation
0c2608f9982ea85cdb51db24e130f0d6d3c5d592 | 2026-08-21T10:37:47+07:00 | AkiraTomori | feat(hw06): add initial templates and documentation for API testing pipeline
87f326a857872cb4d63881cda7b26c097a7c4a7e | 2026-08-13T21:38:45+07:00 | AkiraTomori | feat: add HW06 API Testing documentation with guidelines and requirements

Note: this file intentionally records committed history only. The current proposed finalization changes are not included until the student confirms and commits them manually.
